Título,Enlace,Precio,Dirección,Características,Municipio de Origen
"Estancia amplia con pisos de loseta de ceramica, cocina integral, area de lavado, calentador de paso, dos recamaras con closet, vigilancia, roof garden comunitario, elevador, un estacionamiento.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-amplio-y-ubicado-deparatmento-en-plomeros-198-147513490.html,"MN 13,500","Plomeros 198
Janitzio, Venustiano Carranza","240 m² lote, 2 rec., 1 baño, 1 estac.",Venustiano Carranza
"Rento depto 75mts, 2 recamaras con closet, Sala - Comedor, Cocina Integral, Área de lavado, Jaula de tendido, 1 baño completo, Terraza y balcón, 1 Lugar de estacionamiento ""Independiente"" Condominio con Vigilancia 24hrs, Circuito cerrado, Roof Garden común equipado, Renta con mantenimiento incluido, Excelente ubicación, a unos minutos de Aeropuerto de cdmx, cerca avenidas principales, Visítalo bajo previa cita te atenderá Mary Paz Martínez.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-depto-renta-2-rec.-1-estacionamiento-ind.-65417838.html,"MN 15,500","Relaciones Exteriores 39
Federal, Venustiano Carranza","75 m² lote, 2 rec., 1 baño, 1 estac.",Venustiano Carranza
"Distribución: • Sala-Comedor. • 1 Recámara. • 1 Baño completo. • Área de cocina sólo con tarja. • Área de lavado compartida en la azotea. Características: • Superficie: 35 m2. • Forma de Terreno: Regular. • Edad: 40 años aprox. • Piso en el que se encuentra: pb. • Niveles Totales: 5 niveles. • Uso de suelo: Habitacional. • Departamento Interior. Equipamiento Departamento: • Gas cilíndrico (no cuenta con los cilindros). • Boiler. • Lavadero. • Clóset abierto en recámara. Equipamiento Edificio: • Cisterna. • Tinacos. • Escaleras. Servicios de la Zona. sacmex (Agua), cfe, Drenaje, Transporte Público, servicios de la alcaldía. Vialidades: Circuito Interior, calle Platino, Eje 1 Oriente, Av. Ferrocarril Hidalgo, Calzada de Guadalupe, Calzada de los Misterios. A 270 m: estación del metro Consulado (línea 4/5), Deportivo Plutarco Elías Calles. A 540 m: estación del metro Valle Gómez (línea 5). A 650 m: Mercado Minillas. A 700 m: Mercado 53 Río Blanco. A 750: Mercado Valle Gómez, estación del metro Canal del Norte (línea 4). A 1. 5 km: Plaza comercial Tepeyac.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-loft-en-renta-en-colonia-valle-gomez-venustiano-147761268.html,"MN 6,100","Zinc 297
Valle Gómez, Venustiano Carranza","35 m² lote, 1 rec., 1 baño",Venustiano Carranza
"En renta, este departamento de 100 m² se ubica en Valle Gómez, ofreciendo un espacio ideal para familias. Cuenta con 3 recámaras y 2 baños completos, además de un medio baño adicional. La propiedad incluye área de lavado y cocina integral. El interior se distribuye en una amplia sala y comedor, perfectos para recibir visitas o disfrutar en familia. La cocina integral facilita la preparación de alimentos, mientras que las recámaras ofrecen privacidad y confort. Este departamento también permite mascotas y cuenta con 1 lugar de estacionamiento. Ubicado en una zona con acceso a transporte público y vialidades importantes, facilitando la movilidad hacia diferentes puntos de la ciudad. Además, la cercanía a comercios y servicios hace de esta ubicación una excelente opción para vivir. Agenda tu visita!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-100-m-sup2--con-3-recamaras-en-renta-en-144994905.html,"MN 14,500","Zinc 40
Valle Gómez, Venustiano Carranza","100 m² lote, 3 rec., 2 baños, 1 estac.",Venustiano Carranza
"Departamento en planta baja, iluminado, en privada, con excelente ubicación, consta de estancia con mueble bar empotrado, cocina equipada con barra, anexo area de lavado y tendido, tres recamaras cada una con closet, la principal con baño integrado y otro en pasillo, un estacionamiento fijo, vigilancia 24 x 7. Vias como Francisco del Paso y Troncoso, Mercado Mixhuca, Av. Morelos, Rio Churubusco, Cerca de supermercados, restaurantes, cines, velodromo, escuelas, el metro, Palacio de los Deportes. ""no mascotas"" requisitos. 1 deposito. renta actual. poliza juridica. fiador",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-excelente-departamento-en-planta-baja-en-jardin-147705208.html,"MN 17,000","Viaducto Río de la Piedad 580
Jardín Balbuena, Venustiano Carranza","90 m² lote, 3 rec., 2 baños, 1 estac.",Venustiano Carranza
"Impecable Departamento en Renta, totalmente remodelado de 106 m2 habitables más 1 lugar de estacionamiento; ventanería de aluminio con excelente luz natural, cocina integral nueva que incluye refrigerador, cancel en los baños, persianas nuevas en todo el departamento, doble puerta de acceso. En edificio de de sólo 5 Departamentos y 2 Loft; con 2 cisternas, puerta principal de alta seguridad, portón eléctrico, gas natural, medidor de luz y agua independiente cada departamento. Ubicado sobre Ave Ignacio Zaragoza: - a 12 minutos del Foro Sol y del Aeropuerto de cdmx. - a 10 minutos del Hospital General Balbuena. - a 20 de la unam Fest. - rodeado de escuelas, Hospitales y supermercados de la zona. Medios de Transporte: - A 5 minutos de la tapo. - Metro moctezuma. - Metrobus línea 5 (hacia Xochimilco y Río de los Remedios) La distribución del departamento: - amplia sala-comedor. - cocina abierta con barra, equipada con refrigerador y estufa nuevos, alacenas. - 3 recámaras: la principal con baño y vestidor; las otras 2 recámaras comparten baño, una recámara con vestidor y otra con amplio closet. - Area para centro de lavado. Requisitos para el arrendamiento: - Renta mensual 18, 000. - Fiador con bien raíz libre de gravamen. - 1. 5 depósitos en garantía. - Pago de la póliza jurídica de arrendamiento anual 7, 334. 00. Agenda tu cita en el 55 Ver datos, estamos listos para atenderte.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-jardin-balbuena-venustiano-146188556.html,"MN 18,000","Calz. Ignacio Zaragoza 107
Jardín Balbuena, Venustiano Carranza","106 m² lote, 3 rec., 2 baños, 1 estac.",Venustiano Carranza
"Bonito Departamento, Sala, Comedor, Cocina Integral, 1 Baño completo, Cuarto de lavado, 2 Recamaras cada una con su Closet, 1 Pequeña Bodega. Bonito Jardin frente a los Departamentos. Muy privado ya que son solo 3 Departamentos en el edificio. Se encuentra ubicado en plata baja. Incluye mantenimiento. Cuenta con Cámaras de Vigilancia",https://www.inmuebles24.com/propiedades/clasificado/alclappa-departamento-en-renta-en-jardin-balbuena-147807496.html,"MN 14,900","Retorno 11 de Genaro García 16 Número J Depto planta baja
Jardín Balbuena, Venustiano Carranza","110 m² lote, 2 rec., 1 baño, 1 estac.",Venustiano Carranza
"Se Renta Departamento muy bien ubicado, a una calle del Aeropuerto, una calle de Circuito Interior. 56 mtrs2 que se distribuyen en 2 recámaras con closet, un baño completo, sala y comedor, cocina con área de lavado. En la Renta se incluye el mantenimiento.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-a-pasos-del-aerorpuerto-alc.-147530572.html,"MN 12,500","Calle Fundidora Monterrey 82
Peñón de los Baños, Venustiano Carranza","56 m² lote, 2 rec., 1 baño",Venustiano Carranza
"Se rentan 2 Loft amueblados, totalmente remodelados: - la renta incluye los muebles en comodato, agua y luz, así como la cuota de mantenimiento que se paga al edificio, - con excelente luz natural, cuentan con persianas, - se ubican en el tercer piso del edificio, no hay elevador, - el edificio cuenta con doble cisterna y la puerta principal de acceso es de doble seguridad. - No se aceptan mascotas. ** loft 1, se renta en 10, 500. 00. es para 1 persona. Mide: 19 m2. 1 cama, buró, closet, cocina con barra, alacenas, estufa eléctrica y minirefrigerador; 1 baño completo. ** loft 2, se renta en 12, 000. 00. maximo 2 personas. Mide: 30 m2. 2 camas, 2 burós, 1 escritorio, amplio closet, cocina con barra, alacenas, estufa eléctrica y refrigerador; 1 baño completo. Excelente ubicación sobre Calzada Ignacio Zaragoza: - a 12 minutos del Foro Sol y del Aeropuerto de cdmx. - a 10 minutos del Hospital General Balbuena. - a 20 de la unam Fest. - rodeado de escuelas, Hospitales y supermercados de la zona. Medios de Transporte: - A 5 minutos de la tapo. - Metro Moctezuma. - Metrobus línea 5 (hacia Xochimilco y Río de los Remedios). Requisitos para el arrendamiento: - Fiador con bien raíz libre de gravamen o contar con Obligado Solidario que compruebe ingresos. - 1 Depósito en garantía. - Pago de la póliza jurídica de arrendamiento anual 4, 662. 00. Agenda tu cita en el 55 Ver datos, estamos listos para atenderte.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-loft-amueblado-renta-en-jardin-balbuena-146202323.html,"MN 12,000","Calz. Ignacio Zaragoza 107
Jardín Balbuena, Venustiano Carranza","19 m² lote, 1 rec., 1 baño",Venustiano Carranza
"Este funcional apartamento ofrece un espacio bien distribuido, ideal para solteros o parejas. Ubicado en un edificio con 20 años de antigüedad, el inmueble presenta un diseño práctico y acogedor. La propiedad cuenta con 35 m2 de terreno y construcción, optimizando cada rincón para brindar comodidad, un Planta alta. El interior se compone de una recámara con clóset, un baño completo y una cocina integral equipada. La sala de estar es un espacio versátil que se adapta a diferentes necesidades. Disfruta de conectividad a internet/wifi para trabajar o entretenerte desde casa. Ubicado en la colonia 20 de Noviembre, este apartamento goza de una excelente ubicación con fácil acceso a transporte público, comercios y servicios. La zona es conocida por su ambiente tranquilo y seguro, ideal para quienes buscan un estilo de vida relajado. Encontrarás supermercados, farmacias y restaurantes a pocos minutos de distancia. Además, la cercanía a parques y áreas verdes te permitirá disfrutar de actividades al aire libre.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-rento-departamento-en-amp-20-de-noviembre-147844832.html,"MN 5,500","Calle Grabados 224
20 de Noviembre, Venustiano Carranza","35 m² lote, 1 rec., 1 baño",Venustiano Carranza
