ENT,MUN,LOC,TIPOLOC,OTROTIPO_C,DIS_TRANS,AUTO,MICRO,CAMION,TAXI,BICI,BARCO,AUTOCAB,MICROCAB,CAMIONCAB,TAXICAB,BICICAB,BARCOCAB,TRANSPRIN,FRECUENCIA,TIEMPO,ABASTECIM,AGUACOB,AGUAFUEN,AGUAOFUEN_C,DRENAJE,DRENAJECOB,DDRENAJE,ODDRENAJE_C,LIMCALLE,RECBASURA,DESBASURA,ODESBASURA_C,ALUMBRADO,ENFUENTE,ENOFUENTE_C,ALUMBCOB,MANZANA,RECUBCOB,BANQUETAS,PLAZA,CANCHA,PARQUE,BIBLIOTECA,CULTURA,SALON,FRIJOL,MAIZ,TORTILLA,PAN,ARROZ,LECHE,HUEVO,CARNE,POLLO,PESCADO,FRUTA,TIANGUIS,ABARROTE,DICONSA,LICONSA,FARMACIA,PAPELERIA,FERRETERIA,ROPA,LOZA,MUEBLE,MATERIAL,GAS,GOB_EDO,GOB_MUN,ORG_NG,OTRO_CC,OTRO_CD_C,CLINICA,MEDICO,PARTERA,BRIGADA,PROMOTOR,CURANDERO,TELEFONO,INTERNET,SENALCEL,TELEVISIONA,TELEVISIONP,DINERO,LTRABAJO,ACTAGR_V,ACTAGR_CF,ACTAGR_NO,ACTPEC_V,ACTPEC_CF,ACTPEC_NO,ACTMIN_V,ACTMIN_CF,ACTMIN_NO,ACTFOR_V,ACTFOR_CF,ACTFOR_NO,ACTREC_V,ACTREC_CF,ACTREC_NO,ACTPES_V,ACTPES_CF,ACTPES_NO,ACTART_V,ACTART_CF,ACTART_NO,OTRAACT_V,OTRAACT_CF,OTRAACT_NO,OTRAACT_C,ACT_PRIN,OACT_PRIN_C,PRODUCTO_C1,PRODUCTO_C2,PRODUCTO_C3,AUTMUN,OTRAMUN_C,CEJIDAL,INDIGENA,TRADICIONAL,POLICIA,CONFLICTO1,CONFLICTO2,CONFLICTO3,CONFLICTO4,CONFLICTO5,OCONF,OCONF_D_C,SEQUIA,HELADA,INUNDACION,INCENDIO,TEMBLOR,CICLON,OTRO_DANO,OTRO_DANO_DES_C,AIRE,MOTOR,BASURERO,RUIDO,AGUA,A_NEGRA,RIOS,PESTICIDAS,TERRENOS,PLAGAS,OCONT,OCONT_D_C,HABLALI,USOESC,USOIGL,USOFEST,USOCOMP,USOFAM,USOHOG,PROBLEMA,PROBLEMA_O_C,POBTOT,TAMLOC,LOC_LENGUA40PC
09,004,0063,03,,3,,,,,,,,,,,,,,,,2,4,7,092,3,,,,2,4,,,1,1,,1,1,2,5,2,4,6,8,2,4,1,3,5,7,1,3,5,7,1,3,5,2,3,6,8,2,4,2,4,6,8,2,3,2,4,6,8,,2,4,6,8,1,4,2,4,5,7,1,4,3,,,03,,,06,,,09,,,03,,,06,,,09,,,03,,,06,,,,,,,6,,1,4,5,8,2,4,6,8,1,4,,2,3,5,8,2,4,6,,1,4,6,7,2,3,6,8,2,4,6,,1,9,9,9,9,9,9,01,,818,4,3
09,004,0064,02,,3,,,,,,,,,,,,,,,,1,1,5,,3,,,,1,3,5,,3,,,,3,,,2,4,6,8,2,4,2,4,6,8,2,4,6,8,2,4,6,2,4,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,2,4,6,8,2,4,2,4,5,7,2,4,3,,,03,,,06,,,09,,,03,,,06,,,09,,,03,,,06,,,,,,,4,,2,4,5,7,2,4,6,8,2,4,,2,4,6,8,2,4,6,,2,4,6,8,2,4,6,8,1,4,6,,3,,,,,,,08,,12,1,3
09,004,0066,03,,1,1,3,6,7,2,4,1,1,,1,,,1,4,25,1,1,5,,1,1,6,063,2,3,8,997,3,,,,3,,,2,4,5,8,2,3,1,3,5,7,1,3,5,7,1,3,5,2,4,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,2,4,6,8,2,4,2,3,5,7,1,4,3,,,03,04,,,,,09,,,03,,05,,,,09,,,03,,,06,,2,,112007,112006,,6,,2,4,6,8,2,4,6,8,2,4,,2,3,6,8,2,4,6,,2,4,6,8,2,4,6,8,2,4,6,,3,,,,,,,01,,38,1,3
09,004,0067,01,,1,2,3,6,7,2,4,,1,,1,,,2,5,20,1,2,5,,1,1,6,997,1,3,5,,1,1,,1,3,,,2,3,6,7,1,4,1,3,5,7,1,3,5,7,1,3,5,2,4,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,2,4,6,8,2,4,2,3,5,7,1,4,1,,,03,,,06,,,09,,,03,,,06,,,09,,,03,,,06,,,,,,,6,,2,4,6,8,2,4,6,8,2,4,,2,4,6,8,2,4,6,,2,4,6,8,2,4,6,8,2,4,6,,3,,,,,,,12,,4,1,3
09,004,0070,02,,1,1,3,6,8,2,4,1,1,,,,,2,3,45,2,4,5,,3,,,,2,3,5,,1,1,,3,3,,,2,4,6,8,2,4,1,3,5,7,1,3,5,8,1,4,5,2,3,6,8,2,4,2,4,5,8,2,4,2,4,6,8,,2,4,6,7,2,4,2,3,5,7,1,4,3,,02,,,05,,,,09,,02,,,05,,,,09,,,03,,,06,,2,,112015,112008,112004,2,,1,4,5,8,1,4,6,7,1,3,121,2,3,5,7,1,4,6,,1,3,5,8,1,3,5,8,1,3,6,,1,2,4,6,8,2,3,11,998,438,3,3
09,004,0071,02,,1,2,3,6,7,2,4,,1,,1,,,2,5,45,3,,7,092,1,1,1,,1,3,5,,1,1,,1,3,,,2,4,6,8,2,4,1,3,5,7,1,3,5,7,1,4,5,1,3,5,7,1,3,1,4,6,8,1,4,2,4,6,8,,2,3,6,8,2,3,2,4,5,7,1,4,3,,,03,,,06,,,09,,,03,,,06,,,09,,,03,,,06,,,,,,,2,,1,4,6,7,1,4,6,7,1,4,,1,3,6,8,2,4,6,,2,4,6,8,2,4,6,8,2,4,6,,3,,,,,,,02,,7,1,3
09,004,0073,02,,1,2,3,6,7,2,4,,1,,1,,,2,4,40,4,,,,3,,,,2,3,4,,1,1,,1,3,,,2,4,6,8,1,4,1,3,5,7,1,3,5,8,2,4,5,1,3,5,7,1,3,1,3,6,7,1,3,2,3,6,8,,1,3,6,7,1,4,2,4,5,8,1,4,3,,02,,,05,,,08,,,,03,,,06,,,09,,,03,,,06,,2,,112022,112017,,2,,1,4,6,8,2,4,6,7,2,4,,2,4,5,8,2,4,6,,2,4,6,8,2,4,6,8,2,4,6,,1,9,9,9,9,9,9,01,,514,4,3
09,004,0074,02,,1,2,3,6,8,2,4,,1,,,,,2,3,45,2,3,5,,3,,,,2,3,5,,1,1,,3,3,,,2,4,6,8,2,4,1,3,5,7,1,3,5,8,1,4,5,2,3,6,8,2,4,2,4,6,8,2,3,2,4,6,8,,2,4,6,8,2,4,2,3,5,8,1,4,3,,02,,,05,,,,09,,,03,,05,,,,09,,,03,,,06,,2,,112015,112008,112004,2,,1,4,5,8,1,4,6,7,1,4,,2,4,5,7,2,4,6,,1,3,6,8,1,3,5,8,2,3,6,,1,9,9,9,9,9,9,11,998,173,2,3
09,004,0075,99,,9,,,,,,,,,,,,,,,,9,,,,9,,,,9,9,,,9,,,,9,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,,,,,9,,9,9,9,9,9,9,9,9,9,9,,9,9,9,9,9,9,9,,9,9,9,9,9,9,9,9,9,9,9,,9,,,,,,,99,,5,1,3
09,004,0077,09,9998,1,2,4,6,7,2,4,,,,1,,,4,,30,1,1,5,,1,1,5,,2,3,5,,1,1,,1,3,,,1,4,5,8,2,4,1,4,6,8,1,3,5,8,2,4,6,2,3,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,2,4,6,8,2,4,2,4,5,7,2,4,1,,,03,,,06,,,09,,,03,,05,,,,09,,,03,,,06,,5,,111135,,,6,,2,4,6,8,1,4,6,8,2,4,,2,4,6,8,1,4,6,,2,4,6,8,2,4,6,8,1,4,6,,1,9,9,9,9,9,9,01,,28,1,3
