Título,Enlace,Precio,Dirección,Características,Municipio de Origen
"Departamento de 63m2 a dos cuadras de la Escuela Superior de Guerra en San Jerónimo Lídice, cuenta con estancia comedor, cocineta, baño, esta arriba del garaje de la casa principal, tiene unas magnificas vistas del jardín y se encuentra en una cerrada con acceso controlado por lo cual es una zona muy tranquila, vale la pena rentar en ese lugar ya que cuenta con tiendas de barrio a tres cuadras, Banco a cuadra y medio y a media cuadra de la super via.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-la-magdalena-contreras-66181323.html,"MN 15,000","Cerrada de Escuela Superior de Guerra 81
San Jerónimo Lídice, La Magdalena Contreras","63 m² lote, 1 rec., 1 baño, 2 estac.",La Magdalena Contreras
"Súper departamento en Suiza, La Magdalena Contreras. Con inmejorable ubicación a 6 minutos en coche de Artz a 7 de Perisur, cerca de gimnasios, restaurantes, parques hospitales y más. Al ingresar al departamento una muy amplia sala comedor, cocina integral con una barra desayunadora que conecta al área social con la cocina, espacio para family room, closet de blancos, baño completo que da servicio a la recamara secundaria y al área social. Recámara secundaria con clóset, recámara principal con vestidor, baño completo, y salida a un balcón. Además cuenta con cuarto de lavado. El edificio cuenta con: . 6 pisos en el edificio, 2 departamentos por piso. •Vigilancia 24/7. •Dos lugares de estacionamiento. •Gas Estacionario. •Cisterna. •Piso 4, exterior. Amenidades: •Gimnasio con vestidores. •Rooftop común. Mantenimiento ya incluido en el costo total de renta.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-suiza-la-magdalena-contreras-147408305.html,"MN 23,000","SUIZA
San Jerónimo Aculco, La Magdalena Contreras","103 m² lote, 2 rec., 2 baños, 2 estac.",La Magdalena Contreras
"Espacio moderno, amplio y versátil dentro de la plaza comercial. Este exclusivo departamento en 2 niveles ofrece 165m2 de construcción ideal para quienes buscan comodidad funcionalidad y una excelente ubicación en el Sur de la Ciudad. Características principales: -2 Niveles con excelente distribución. -2 Recámaras con opción a una 3ra recamara o estudio. -2 Baños completos. -1/2 Baño visitas. -4 cajones de estacionamiento. -1 Bodega amplia. Gran iluminación natural y muy abundante gracias a que tiene ventanales amplios. Ubicado dentro de Plaza comercial con todos los servicios al alcance: Starbucks, Gimnasios, Salones de belleza, vigilancia 24/7 y Sistema de Seguridad con accesos controlado. Ubicación privilegiada en San Jerónimo a unos pasos de Periférico y con excelente conexión hacia Pedregal, AltaVista, San Ángel y Santa Fe.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-la-parte-baja-de-san-jeronimo-147398487.html,"MN 40,000","Av. San Jerónimo 819
San Jerónimo Lídice, La Magdalena Contreras","165 m² lote, 2 rec., 2 baños, 4 estac.",La Magdalena Contreras
"Date el gusto de vivir en la parte alta de una plaza que lo tiene todo: Gimnasio, cafés, restaurantes y cercano a vías de comunicación. Este impecable departamento cuenta con 2 amplias recámaras, tres baños completos, cocina de concepto abierto, una gran despensa, cuarto de servicio, área de lavado, sala, comedor. Una gran terraza con todo lo necesario para disfrutar con la familia y amigos. Dos lugares de estacionamiento y vigilancia 24/7. No pierdas la oportunidad de conocerlo.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-magnifico-departamento-en-pasaje-san-jeronimo.-147205813.html,"MN 46,000","Av. San Jerónimo 819
San Jerónimo Lídice, La Magdalena Contreras","168 m² lote, 2 rec., 3 baños, 2 estac.",La Magdalena Contreras
"Renta de espacio en parte baja de san jerónimo en cerrada. Acceso independiente espacio amueblado con baño, incluye microondas, incluye agua, gas, internet, mantenimiento. *Aviso de privacidad sugerencias, quejas, aclaraciones, consultar nuestra página. El precio no incluye el mobiliario, electrodomésticos, artículos de decoración y/o arte que pudieran aparecer en las fotografías. El precio de venta no incluye gastos e impuestos de escrituración, o gastos derivados por algún tipo de credito.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-espacio-en-san-jeronimo-lidice-146146306.html,"MN 10,000","privada de Antonia
San Jerónimo Lídice, La Magdalena Contreras","15 m² lote, 1 rec., 1 baño, 1 estac.",La Magdalena Contreras
"Iluminado, moderno, amplio, es un departamento por piso y con elevador directo. La recámara principal cuenta con walking closet, baño y la secundaria con closet de amplio espacio y baño. La estancia es muy espaciosa, lo que permite lucir muebles grandes o diseñar un vestíbulo a tus necesidades. La cocina es abierta, con barra de granito, espacio para lavavajillas, para refrigerador y con acceso al área de lavandería, que cuenta con gran espacio para lavadora y secadora de 26 kgs. Separadas, amplio closet y suficiente espacio para almacenar. El edificio cuenta con roofgarden común un salón de usos múltiples, ambos sin equipar. Los estacionamientos son en fila, pero no se estorban con los vecinos. Cabe una camioneta suv Tipo hrv y un auto. Cuenta con 6 lugares para visitas. Vigilancia es de 24 hrs. Aprovecha esta oportunidad, el precio incluye el mantenimiento. Requisitos: 1 mes de depósito. 1 mes de renta anticipada. Fiador en Cdmx. Póliza jurídica",https://www.inmuebles24.com/propiedades/clasificado/veclapin-renta-venta-departamento-san-jeronimo-sin-muebles-146593476.html,"MN 26,000","av. conteras 643
San Jerónimo Lídice, La Magdalena Contreras","161 m² lote, 2 rec., 2 baños, 2 estac.",La Magdalena Contreras
"Departamento en renta en calle cerrada en san jerónimo aculco. Dos recámaras, 2 baños completos, cuarto de tv, área de tranajo con escritorio y esoacionde almacenamiento, cocina equipada, área de lavado, 2 lugares de estacionamiento. Pisos de madera de ingenieria, persianas. Vigilancia las 24 horas.",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-san-jeronimo-aculco-146840861.html,"MN 29,000","Terremoto
San Jerónimo Aculco, La Magdalena Contreras","130 m² lote, 2 rec., 3 baños, 2 estac.",La Magdalena Contreras
"Amplio departamento y recién remodelado. Con Roof Garden privado. Listo para que lo disfrutes. Planta Baja 3 recámaras la principal con baño y closet. las otras 2 con closets y comparten el baño. área de lavado y baño de servicio. sala comedor, cocina. Planta Alta Master suite con baño walking closet y terraza. 5ta. Recámara o family room con walking closet y baño. área de estudio y amplia terraza con bonita vista. 2 estacionamientos techado. bodega, áreas verdes y vigilancia 24 horas. Amenidades: Áreas verdes. Kids zone. zona de asador. Área de juegos infantiles. Agenda tu cita",https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-tipo-pent-house-en-san-jeronimo-146689637.html,"MN 60,000","Periférico sur 2775
San Jerónimo Lídice, La Magdalena Contreras","280 m² lote, 5 rec., 4 baños, 2 estac.",La Magdalena Contreras
"Ref: 2 4 6 6 0 6. Este exclusivo departamento en renta en San Jerónimo Lídice, La Magdalena Contreras, cdmx, es ideal para aquellos que buscan una residencia de lujo con amplios espacios y recién remodelado con acabados de primera calidad. Con una construcción de 332 m2, esta propiedad cuenta con 5 recámaras, 4 baños, la principal con balo y vestidor, cocina equipada, sala y comedor, walk in closet, closets, cuarto de servicio y terraza. Además, ofrece amenidades como área de juegos infantiles, área de lavandería, elevadores, caseta de vigilancia con seguridad por 24Hras, jardín, intercomunicador, armarios empotrados, espacio de co-working y una habitación puede ser área de tv. Ubicado en una zona privilegiada, este departamento en renta en San Jerónimo Lídice tiene una vista espectacular a la montaña y se encuentra en una zona pet friendly, ideal para aquellos que tienen mascotas. Las principales vías de acceso a la propiedad incluyen la Avenida San Jerónimo, Periferico, lo que facilita la movilidad en la zona. Además, la propiedad se encuentra cerca de zonas de interés como el centro comercial Perisur, Plaza Artz y el Hospital Ángeles Pedregal, lo que la convierte en una opción ideal para aquellos que buscan comodidad y tranquilidad en la Ciudad de México. No pierdas la oportunidad de vivir en este exclusivo departamento y disfrutar de todas las comodidades que ofrece. ¡Contáctanos para más información! La renta incluye mantenimiento!",https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-de-departamento-ph-de-lujo-en-san-jeronimo-146160132.html,"MN 60,000","Boulevard Adolfo López Mateos 2775 , San Jerónimo Lídice , 10200 La Magdalena Contreras, Ciudad de México, México
San Jerónimo Lídice, La Magdalena Contreras","273 m² lote, 5 rec., 4 baños, 2 estac.",La Magdalena Contreras
"[arr] id houm: Ver datos. Entérate de todos los beneficios al rentar con Houm: • No te pedimos aval. • Asistencia e intermediación con el propietario. • Firma tu contrato online. • Renta sin burocracia, papeleos y mucho más rápido. • Difiere tu depósito en hasta 6 meses sin interés. Departamento en renta, ubicado en la colonia El Toro, con una superficie construida de 160. 00 m² y superficie total de 405. 00 m². Sus principales características son: • Sin amueblar. • 3 recámaras. • 2 baños. • Admite mascotas. • 2 estacionamientos. • Año de construcción: 1995. • Cuarto de lavado. • Bodega. Si rentas con nosotros, te brindamos asesoría personalizada durante todo el proceso. Importante: • Se deben demostrar ingresos de 3 veces el valor de la renta. • En caso de que tus ingresos no lleguen a 3 veces el valor de la renta, estos pueden ser la suma de las personas que vivirán en la propiedad. • Te invitamos a agendar una visita a esta propiedad: esta puede ser presencial o vía streaming, desde la comodidad de tu hogar. • Y lo mejor. Sin aval. Más que una corredora, somos Houm. *Aplican T&C",https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-el-toro-con-3-recamaras-id:.-146847423.html,"MN 29,000","Palmas
El Toro, La Magdalena Contreras","405 m² lote, 3 rec., 2 baños, 2 estac.",La Magdalena Contreras
